title,text,topics,places,summary,cleaned_summary
QUEBECOR &lt;PQB> HEAD SEES NEW VENTURES LIKELY,"Quebecor Inc, one of Canada's largest
publishing and printing companies, is likely to launch a new
daily newspaper in Montreal, probably this fall, president
Pierre Peladeau told Reuters in an interview.
    The company, which last week won a bid to buy the Quebec
government's 55 pct interest in pulp and paper company &lt;Donohue
Inc>, will also likely go ahead with plans to build a new paper
mill in Matane, Quebec, Peladeau said.
    ""I would say we will move (ahead with the daily).... This
is not definite but i think we will,"" he said, adding that he
plans to announce a decision early next week.
    Quebecor, which had revenues of 446 mln Canadian dlrs last
year and profit of 16.2 mln dlrs, already publishes three daily
newspapers, including the tabloid Le Journal de Montreal, the
second-largest circulation paper in Canada.
    A new daily would give Montreal its second English-
language paper and its sixth daily newspaper, making the city
the most crowded metropolitan newspaper market in North
America, analysts have said.
    Peladeau said market studies have indicated a new English
language tabloid would have circulation of 50,000 within six
months. He said he is waiting to determine whether the new
venture would have the support of major advertisers.
    Peladeau, who together with family members owns about 55
pct of Quebecor, said he has recieved offers from the heads of
two major Canadian companies who are interested in the project
but has not decided whether he would take partners in the
newspaper venture.
    He said he would consider launching the newspaper with one
of the companies as a prelude to other joint ventures.
    ""It would be the possibility of doing something else in the
short term,"" Peladeau said.
    Peladeau said the joint acquisition of Donohue with Robert
Maxwell's British Printing and Communications Corp plc &lt;BPCL.L>
does not mean Quebecor will have to hold off on other projects.
    Peladeau and Maxwell's companies teamed up to buy the stake
in Donohue, which resulted in Quebecor buying 51 pct of the
govvernment's stake for about 165 mln Canadian dlrs and British
printing acquiring the other 49 pct.
    ""In 1976 or 77 there was a tremendous shortage of
newsprint. There were days when we didn't have enough paper to
print the paper,"" Peladeau said. ""When I lived that, I said to
myself...next time we'll be ready.""
    Peladeau said most of Donohue's current total newsprint
capacity however, is already committed to other buyers.
    Quebecor uses about 100,000 metric tons of newsprint a year
and Maxwell's company, which publishes Britain's Daily Mirror
newspaper, uses about 200,000 tonnes.
    Peladeau said even with a new 170 mln dlr paper machine, 49
pct owned by the New York Times, (NYT.A), adding to Donohue's
540,000 metric tonne capacity this fall, the companies will
have to install another paper machine at Amos, Quebec, or build
another mill to meet their demands .
    He said a new mill, which would produce either newsprint or
other types of paper, would cost 400-500 mln dlrs and could be
on stream in two years. He said a mill in Matane, a depressed
area with high unemployment, would be heavily subsidized by the
government.
    Peladeau said he is interested in further joint ventures
with Maxwell's company, either in the newspaper market in
France or in the U.S., where the company owns two large
printing plants and is looking to expand its newspaper empire.
    He said Maxwell's sons, who are French citizens, would
provide an entree into the French market, where foreigners are
prevented from buying newspapers. Peladeau said he would
consider either buying into or starting daily newspapers in
France or the U.S.
    Quebecor is also in the process of expanding its chain of
about 40 weekly newspapers, with the possible acquisition of
two groups of weekly newspapers in the U.S., and is negotiating
the acquisition of two weekly newspaper chains in Canada,
Peladeau said.
    He said the company may consider starting daily newspapers
in two small Quebec cities and buying radio stations in the
province.
    Peladeau said Quebecor may also consider trading in its
listing on the American stock exchange for a New York Stock
Exchange listing.
 Reuter
",[],['canada'],"Quebecor Inc, one of Canada's largest publishing and printing companies, is likely to launch a new daily newspaper in Montreal this fall. Last week Quebecor bought the Quebec government's 55% interest in pulp and paper company &lt;Donohue Inc. Quebecor already publishes three daily newspapers, including the tabloid Le Journal de Montreal.",quebecor inc one canada 's largest publishing printing company likely launch new daily newspaper montreal fall last week quebecor bought quebec government 's 55 interest pulp paper company donohue inc quebecor already publishes three daily newspaper including tabloid le journal de montreal
NEW YORK BUSINESS LOANS FALL 195 MLN DLRS,"Commercial and industrial loans on the
books of the 10 major New York banks, excluding acceptances,
fell 195 mln dlrs to 65.06 billion in the week ended February
18, the Federal Reserve Bank of New York said.
    Including acceptances, loans declined 114 mln dlrs to 65.89
billion.
    Commercial paper outstanding nationally dropped 375 mln
dlrs to 336.63 billion.
    National business loan data are scheduled to be released on
Friday.
 Reuter
",['money-supply'],['usa'],"Commercial and industrial loans on the books of the 10 major New York banks fell 195 million dlrs to 65.06 billion in the week ended February 18. Including acceptances, loans declined 114 million dllrs to $65.89 billion. Commercial paper outstanding nationally dropped 375 million dollars to $336 billion. National business loan data are scheduled to be released on Friday.",commercial industrial loan book 10 major new york bank fell 195 million dlrs 65.06 billion week ended february 18 including acceptance loan declined 114 million dllrs 65.89 billion commercial paper outstanding nationally dropped 375 million dollar 336 billion national business loan data scheduled released friday
N.Y. BANK DISCOUNT BORROWINGS 64 MLN DLRS,"The eight major New York City banks had
64 mln dlrs in average borrowings from the Federal Reserve in
the week to Wednesday February 25, a Fed spokesman said.
    The week marked the second half of the two-week bank
statement period that ended on Wednesday. The banks had no
borrowings in the prior week.
    Commenting on the latest week, a Fed spokesman said that
all of the borrowing occurred yesterday and was done by fewer
than half of the banks.
    National data on discount window borrowings are due to be
released at 1630 EST (2130 GMT).

 Reuter
",['money-supply'],['usa'],The eight major New York City banks borrowed $64 million from the Federal Reserve in the week to Wednesday February 25. The week marked the second half of the two-week bank statement period that ended on Wednesday. National data on discount window borrowings are due to be released at 1630 EST (2130 GMT).,eight major new york city bank borrowed 64 million federal reserve week wednesday february 25 week marked second half two-week bank statement period ended wednesday national data discount window borrowing due released 1630 est 2130 gmt
PHILIPPINE LONG DISTANCE &lt;PHI> YEAR NET,"Shr primary 95.30 pesos vs 29.71 pesos
    Shr diluted 61.11 pesos vs 18.49 pesos
    Qtly div 1.25 pesos vs 1.25 pesos
    Net 1.9 billion vs 779 mln
    Revs 6.1 billion vs 4.7 billion
    NOTE: Full name Philippine Long Distance Telephone Co.
    Figures quoted in Philippine Pesos.
    Dividend payable April 15 to holders or record March 13.
Exchange rate on day of dividend declaration was 20.792 pesos
per dollar.
 Reuter
",['earn'],"['usa', 'philippines']","Philippine Long Distance Telephone Co. declares a dividend of 20.792 pesos per dollar. Dividend is payable April 15 to holders or record March 13. Shr primary 95.30 pesos, shr diluted 61.11 pesos and shr net 1.9 billion pesos.",philippine long distance telephone co declares dividend 20.792 peso per dollar dividend payable april 15 holder record march 13 shr primary 95.30 peso shr diluted 61.11 peso shr net 1.9 billion peso
LIBERTY ALL-STAR EQUITY FUND INITIAL DIV,"Qtly div five cts vs N.A.
    Payable April two
    Record March 20
    NOTE:1986 dividend includes special two cts per share for
the period beginning with the fund's commencement of operations
on Novebmer three through December 31, 1986.
 Reuter
",['earn'],['usa'],"1986 dividend includes special two cts per share for the period beginning with the fund's commencement of operations on November 3, 1985 and ending on December 31, 1986. The dividend is 5 cts vs N.A. Reuter. The record date is March 20.",1986 dividend includes special two ct per share period beginning fund 's commencement operation november 3 1985 ending december 31 1986 dividend 5 ct v n.a reuter record date march 20
COLUMBIA GAS SYSTEM INC &lt;CG> REDEEMS DEBENTURES,"The Columbia Gas Systems Inc said
it will redeem 4.7 mln dlrs principal amount of its 9-1/8 pct
debentures, series due May 1, 1996, and five mln dlrs
principal amount of its 10-1/4 pct debentures, series due May
1, 1999.
    The company said it is redeeming the debentures to meet
mandatory sinking fund requirements.
    In addition, Columbia said it will call for the optional
sinking fund redemption on May 1, 1987, the 4.7 mln dlrs
principal amount of the 9-1/8 debentures and 7.5 mln dlrs of
the 10-1/4 pct debentures.
 Reuter
",[],['usa'],"Columbia Gas Systems Inc. will redeem 4.7 mln dlrs principal amount of its 9-1/8 pct debentures, series due May 1, 1996, and 5.5 mlrs of its 10/1/4 pctdebentures due May1, 1999. The company is redeeming them to meet the mandatory sinking fund requirements.",columbia gas system inc redeem 4.7 mln dlrs principal amount 9-1/8 pct debenture series due may 1 1996 5.5 mlrs 10/1/4 pctdebentures due may1 1999 company redeeming meet mandatory sinking fund requirement
COMBUSTION ENGINEERING INC &lt;CSP> REGULAR DIV,"Qtly div 25 cts vs 25 cts prior
    Pay April 30
    Record April 16
 Reuter
",['earn'],['usa'],"The divider is 25 cts vs 25 Cts prior. Pay is April 30, record is April 16, and divisors are based on the previous day's divisor's price. The divider's price is based on previous days' price.",divider 25 ct v 25 ct prior pay april 30 record april 16 divisor based previous day 's divisor 's price divider 's price based previous day price
TONKA CORP &lt;TKA> RAISES DIVIDEND,"Qtly div two cts vs 1.7 cts
    Pay March 26
    Record March 12
 Reuter
",['earn'],['usa'],"The divider is 2.2 cts vs 1.7 cts. Pay is March 26, record is March 12, and the divider has a record of 12 cts, so the difference is less than 1 ct per ct. ",divider 2.2 ct v 1.7 ct pay march 26 record march 12 divider ha record 12 ct difference le 1 ct per ct
BDM INTERNATIONAL &lt;BDM> INCREASES QTRLY DIVS,"Annual div Class A 14 cts vs 12 cts prior
    Annual div Class B 12.1 cts vs 10.4 cts prior
    Payable April one
    Record March 20
    NOTE: full name is BDM International Inc.
 Reuter
",['earn'],['usa'],"Annual div Class A 14 cts vs 12 cts prior, Annual div Class B 12.1 cts, vs 10.4 cts before. Payable April one, record March 20. Full name is BDM International Inc. Reuter.",annual div class 14 ct v 12 ct prior annual div class b 12.1 ct v 10.4 ct payable april one record march 20 full name bdm international inc reuter
SORG &lt;SRG> STOCKHOLDERS FORM GROUP,"Sorg Inc said a group composed of
one-third of the stockholders in Sorg agreed not to sell their
holdings without the consent of the entire group.
    Sorg said the group also agreed to vote as a body on any
proposed merger or election of directors.
    The company further said it retained the First Boston Corp
to act as its financial advisor.
    The company was not immediately available to provide
further details on the group or its aims.
 Reuter
",[],['usa'],Group composed of one-third of stockholders in Sorg Inc. agreed not to sell their shares without the consent of the entire group. The group also agreed to vote as a body on any proposed merger or election of directors. First Boston Corp. acted as its financial advisor.,group composed one-third stockholder sorg inc agreed sell share without consent entire group group also agreed vote body proposed merger election director first boston corp acted financial advisor
SYSTEMATICS INC &lt;SYST> REGULAR PAYOUT,"Qtly div three cts vs three cts prior
    Pay March 13
    Record February 27
 Reuter
",['earn'],['usa'],"Pay March 13, record February 27, divider three cts vs. three cents prior, pay March 13 and record March 27, if the divider beats the previous one, pay is paid on March 13th, and record is paid March 27th.",pay march 13 record february 27 divider three ct v three cent prior pay march 13 record march 27 divider beat previous one pay paid march 13th record paid march 27th
TEXAS INSTRUMENTS &lt;TXN> DEVELOPS NEW CHIP,"Texas Instruments Inc said it has
developed the first 32-bit computer chip designed specifically
for artificial intelligence applications.
    The company said the new microprocessor, measuring
one-centimeter square and containing 553,687 transistors, is
the densest chip ever made.
    The chip was designed, Texas Instruments said, for use with
the Lisp langugage, which is used widely by software
programmers in the artificial intelligence field.
    The company added that it is working on a production
version of the chip.
 Reuter
",[],['usa'],"Texas Instruments developed the first 32-bit computer chip designed specifically for artificial intelligence applications. The new microprocessor is densest chip ever made, measuring one-centimeter square and containing 553,687 transistors. Texas Instruments is working on a production version of the chip.","texas instrument developed first 32-bit computer chip designed specifically artificial intelligence application new microprocessor densest chip ever made measuring one-centimeter square containing 553,687 transistor texas instrument working production version chip"
CONSOLIDATED GAS &lt;CNG>UNIT SAYS NO RULES BROKEN,"Consolidated Natural Gas
System's Consolidated Gas Transmission Corp said it is in
compliance with all federal regulations regarding the disposal
of polychlorinated biphenyls, or PCBs.
    The company said it successfully cleaned up the only
earthen pit at which PCBs were reported to be above
Environmental Protection Agency standards.
   
 Reuter
",[],['usa'],"Consolidated Gas Transmission Corp is in compliance with all federal regulations regarding the disposal of polychlorinated biphenyls, or PCBs. The company successfully cleaned up the only earthen pit at which PCBs were reported to be above the Environmental Protection Agency standards.",consolidated gas transmission corp compliance federal regulation regarding disposal polychlorinated biphenyls pcbs company successfully cleaned earthen pit pcbs reported environmental protection agency standard
&lt;IVACO INC> YEAR NET,"Shr 1.11 dlrs vs 1.04 dlrs
    Net 44,092,000 vs 35,145,000
    Revs 1.94 billion vs 1.34 billion
    Note: 1986 results include extraordinary gain of 1,035,000
dlrs or six cts a share from secondary share offering of Canron
unit.
 Reuter
",['earn'],['canada'],"The 1986 results include an extraordinary gain of 1,035,000 dlrs or six cts a share from secondary share offering of Canron unit Reuter. The net profit is 44,092,000 vs 35,145,000 and the revs are 1.94 billion vs 1.34 billion.","1986 result include extraordinary gain 1,035,000 dlrs six ct share secondary share offering canron unit reuter net profit 44,092,000 v 35,145,000 rev 1.94 billion v 1.34 billion"
INVESTMENT FIRMS CUT CYCLOPS &lt;CYL> STAKE,"A group of affiliated New York
investment firms said they lowered their stake in Cyclops Corp
to 260,500 shares, or 6.4 pct of the total outstanding common
stock, from 370,500 shares, or 9.2 pct.
    In a filing with the Securities and Exchange Commission,
the group, led by Mutual Shares Corp, said it sold 110,000
Cyclops common shares on Feb 17 and 19 for 10.0 mln dlrs.
 Reuter
",['acq'],['usa'],"A group of New York investment firms lowered their stake in Cyclops Corp. to 260,500 shares, or 6.4 pct of the total outstanding common stock. The group sold 110,000 common shares on Feb 17 and 19 for 10.0 mln dlrs.","group new york investment firm lowered stake cyclops corp 260,500 share 6.4 pct total outstanding common stock group sold 110,000 common share feb 17 19 10.0 mln dlrs"
CORADIAN CORP &lt;CDIN> 4TH QTR NET,"Shr profit three cts vs loss three cts
    Net profit 363,000 vs loss 197,000
    Revs 3,761,000 vs 2,666,000
    Year
    Shr profit one cent vs loss 37 cts
    Net profit 129,000 vs loss 1,715,000
    Revs 11.4 mln vs 10.9 mln
    Avg shrs 10,694,081 vs 4,673,253
 Reuter
",['earn'],['usa'],"Reuter made a profit of one cent compared to a loss of 37 cts. Net profit was 363,000 vs loss 197,000. Revs were 11.4 mln vs 10.9 mln. Shrs were 10,694,081 vs 4,673,253.","reuter made profit one cent compared loss 37 ct net profit wa 363,000 v loss 197,000 rev 11.4 mln v 10.9 mln shrs 10,694,081 v 4,673,253"
N.Z. TRADING BANK DEPOSIT GROWTH RISES SLIGHTLY,"New Zealand's trading bank seasonally
adjusted deposit growth rose 2.6 pct in January compared with a
rise of 9.4 pct in December, the Reserve Bank said.
    Year-on-year total deposits rose 30.6 pct compared with a
26.3 pct increase in the December year and 34.5 pct rise a year
ago period, it said in its weekly statistical release.
    Total deposits rose to 17.18 billion N.Z. Dlrs in January
compared with 16.74 billion in December and 13.16 billion in
January 1986.
 Reuter
",['money-supply'],['new-zealand'],"New Zealand's trading bank's deposit growth rose 2.6% in January compared with 9.4% rise in December. Year-on-year total deposits rose 30.6%, compared with a 26.3% increase in the December year and 34.5% rise a year ago. Total deposits rose to 17.18 billion N.Z.Dlrs in January, compared with 16.74 billion in December and 13.16 billion in January 1986.",new zealand 's trading bank 's deposit growth rose 2.6 january compared 9.4 rise december year-on-year total deposit rose 30.6 compared 26.3 increase december year 34.5 rise year ago total deposit rose 17.18 billion n.z.dlrs january compared 16.74 billion december 13.16 billion january 1986
WORLD MARKET PRICE FOR UPLAND COTTON - USDA,"The U.S. Agriculture Department
announced the prevailing world market price, adjusted to U.S.
quality and location, for Strict Low Middling, 1-1/16 inch
upland cotton at 52.69 cts per lb, to be in effect through
midnight March 5.
    The adjusted world price is at average U.S. producing
locations (near Lubbock, Texas) and will be further adjusted
for other qualities and locations. The price will be used in
determining First Handler Cotton Certificate payment rates.
    Based on data for the week ended February 26, the adjusted
world price for upland cotton is determined as follows, in cts
per lb --
 Northern European Price               66.32
      Adjustments --
 Average U.S. spot mkt location 10.42 
 SLM 1-1/16 inch cotton          1.80 
 Average U.S. location           0.53
 Sum of adjustments              12.75
 Adjusted world price            53.57
 Reuter
",['cotton'],['usa'],"The world market price for Strict Low Middling, 1-1/16 inch cotton is 52.69 cts per lb. The adjusted world price is at average U.S. producing locations near Lubbock, Texas. The price will be used in determining First Handler Cotton Certificate payment rates.",world market price strict low middling 1-1/16 inch cotton 52.69 ct per lb adjusted world price average u.s producing location near lubbock texas price used determining first handler cotton certificate payment rate
GRAIN SHIPS LOADING AT PORTLAND,"There were seven grain ships loading and
six ships were waiting to load at Portland, according to the
Portland Merchants Exchange.
 Reuter
","['grain', 'ship']",['usa'],"There are seven grain ships loading and six waiting to load at Portland, according to the P&E Merchants Exchange. The ships will be ready to arrive in a few days.   ��   - Reuter's report.  - R��ger's report",seven grain ship loading six waiting load portland according p e merchant exchange ship ready arrive day �� reuter 's report r��ger 's report
MERIDIAN BANCORP INC &lt;MRDN> SETS REGULAR PAYOUT,"Qtly div 25 cts vs 25 cts prior
    Pay April one
    Record March 15
 Reuter
",['earn'],['usa'],"The divider is 25 cts vs. 25 ct prior. Pay April one. The record is set on March 15th, and the payment is made on April 1st, as stated by Reuter. The previous payment was made on March 25th.",divider 25 ct v 25 ct prior pay april one record set march 15th payment made april 1st stated reuter previous payment wa made march 25th
U.S. BANK DISCOUNT BORROWINGS 310 MLN DLRS,"U.S. bank discount window borrowings
less extended credits averaged 310 mln dlrs in the week to
Wednesday February 25, the Federal Reserve said.
    The Fed said that overall borrowings in the week fell 131
mln dlrs to 614 mln dlrs, with extended credits up 10 mln dlrs
at 304 mln dlrs. The week was the second half of a two-week
statement period. Net borrowings in the prior week averaged 451
mln dlrs.
    Commenting on the two-week statement period ended February
25, the Fed said that banks had average net free reserves of
644 mln dlrs a day, down from 1.34 billion two weeks earlier.
    A Federal Reserve spokesman told a press briefing that
there were no large single day net misses in the Fed's reserve
projections in the week to Wednesday.
    He said that natural float had been ""acting a bit
strangely"" for this time of year, noting that there had been
poor weather during the latest week.
    The spokesman said that natural float ranged from under 500
mln dlrs on Friday, for which he could give no reason, to
nearly one billion dlrs on both Thursday and Wednesday.
    The Fed spokeman could give no reason for Thursday's high
float, but he said that about 750 mln dlrs of Wednesday's
float figure was due to holdover and transportation float at
two widely separated Fed districts.
    For the week as a whole, he said that float related as of
adjustments were ""small,"" adding that they fell to a negative
750 mln dlrs on Tuesday due to a number of corrections for
unrelated cash letter errors in six districts around the
country.
    The spokesman said that on both Tuesday and Wednesday, two
different clearing banks had system problems and the securities
and Federal funds wires had to be held open until about 2000 or
2100 EST on both days.
    However, he said that both problems were cleared up during
both afternoons and there was no evidence of any reserve
impact.
    During the week ended Wednesday, 45 pct of net discount
window borrowings were made by the smallest banks, with 30 pct
by the 14 large money center banks and 25 pct by large regional
institutions.
    On Wednesday, 55 pct of the borrowing was accounted for by
the money center banks, with 30 pct by the large regionals and
15 pct by the smallest banks.
    The Fed spokesman said the banking system had excess
reserves on Thursday, Monday and Tuesday and a deficit on
Friday and Wedndsday. That produced a small daily average
deficit for the week as a whole.
    For the two-week period, he said there were relatively high
excess reserves on a daily avearge, almost all of which were at
the smallest banks.
 Reuter
",['money-supply'],['usa'],"U.S. bank discount window borrowings averaged 310 million dlrs in the week to Wednesday February 25th. The week was the second half of a two-week statement period. Banks had average net free reserves of644 million dollars a day, down from 1.34 billion two weeks earlier. 45 percent of the borrowing was made by the smallest banks.",u.s bank discount window borrowing averaged 310 million dlrs week wednesday february 25th week wa second half two-week statement period bank average net free reserve of644 million dollar day 1.34 billion two week earlier 45 percent borrowing wa made smallest bank
AMERICAN EXPRESS &lt;AXP> SEEN IN POSSIBLE SPINNOFF,"American Express Co remained silent on
market rumors it would spinoff all or part of its Shearson
Lehman Brothers Inc, but some analysts said the company may be
considering such a move because it is unhappy with the market
value of its stock.
    American Express stock got a lift from the rumor, as the
market calculated a partially public Shearson may command a
good market value, thereby boosting the total value of American
Express. The rumor also was accompanied by talk the financial
services firm would split its stock and boost its dividend.
    American Express closed on the New York Stock Exchange at
72-5/8, up 4-1/8 on heavy volume.
    American Express would not comment on the rumors or its
stock activity.
    Analysts said comments by the company at an analysts'
meeting Tuesday helped fuel the rumors as did an announcement
yesterday of management changes.
    At the meeting, company officials said American Express
stock is undervalued and does not fully reflect the performance
of Shearson, according to analysts.
    Yesterday, Shearson said it was elevating its chief
operating officer, Jeffery Lane, to the added position of
president, which had been vacant. It also created four new
positions for chairmen of its operating divisions.
    Analysts speculated a partial spinoff would make most
sense, contrary to one variation on market rumors of a total
spinoff.
    Some analysts, however, disagreed that any spinoff of
Shearson would be good since it is a strong profit center for
American Express, contributing about 20 pct of earnings last
year.
    ""I think it is highly unlikely that American Express is
going to sell shearson,"" said Perrin Long of Lipper Analytical.
He questioned what would be a better investment than ""a very
profitable securities firm.""
    Several analysts said American Express is not in need of
cash, which might be the only reason to sell a part of a strong
asset.
    But others believe the company could very well of
considered the option of spinning out part of Shearson, and one
rumor suggests selling about 20 pct of it in the market.
    Larry Eckenfelder of Prudential-Bache Securities said he
believes American Express could have considered a partial
spinoff in the past.
    ""Shearson being as profitable as it is would have fetched a
big premium in the market place. Shearson's book value is in
the 1.4 mln dlr range. Shearson in the market place would
probably be worth three to 3.5 bilion dlrs in terms of market
capitalization,"" said Eckenfelder.
    Some analysts said American Express could use capital since
it plans to expand globally.
    ""They have enormous internal growth plans that takes
capital. You want your stock to reflect realistic valuations to
enhance your ability to make all kinds of endeavors down the
road,"" said E.F. Hutton Group analyst Michael Lewis.
    ""They've outlined the fact that they're investing heavily
in the future, which goes heavily into the international
arena,"" said Lewis. ""...That does not preclude acquisitions and
divestitures along the way,"" he said.
    Lewis said if American Express reduced its exposure to the
brokerage business by selling part of shearson, its stock might
better reflect other assets, such as the travel related
services business.
    ""It could find its true water mark with a lesser exposure
to brokerage. The value of the other components could command a
higher multiple because they constitute a higher percentage of
the total operating earnings of the company,"" he said.
     Lewis said Shearson contributed 316 mln in after-tax
operating earnings, up from about 200 mln dlrs in 1985.
   
 Reuter
",['acq'],['usa'],"Rumors are rife that American Express will spin off all or part of its Shearson Brothers Inc. stock. American Express closed on the New York Stock Exchange at 72-5/8, up 4-1/8 on heavy volume. Shearson elevates its chief operating officer, Jeffery Lane, to the position of president.",rumor rife american express spin part shearson brother inc stock american express closed new york stock exchange 72-5/8 4-1/8 heavy volume shearson elevates chief operating officer jeffery lane position president
U.S. M-1 MONEY SUPPLY ROSE 2.1 BILLION DLRS,"U.S. M-1 money supply rose 2.1 billion
dlrs to a seasonally adjusted 736.7 billion dlrs in the
February 16 week, the Federal Reserve said.
    The previous week's M-1 level was revised to 734.6 billion
dlrs from 734.2 billion dlrs, while the four-week moving
average of M-1 rose to 735.0 billion dlrs from 733.5 billion.
    Economists polled by Reuters said that M-1 should be
anywhere from down four billion dlrs to up 2.3 billion dlrs.
The average forecast called for a 300 mln dlr M-1 rise.
 Reuter
",['money-supply'],['usa'],U.S. M-1 money supply rose 2.1 billion dlrs to a seasonally adjusted 736.7 billion dollars in the February 16th week. The previous week's level was revised to 734.6 billion dollars. Economists polled by Reuters predicted a 300 million dollar rise.,u.s m-1 money supply rose 2.1 billion dlrs seasonally adjusted 736.7 billion dollar february 16th week previous week 's level wa revised 734.6 billion dollar economist polled reuters predicted 300 million dollar rise
GENERAL BINDING &lt;GBND> IN MARKETING AGREEMENT,"General Binding Corp said it reached
a marketing agreement with Varitronic Systems Inc, a
manufacturer and marketer of electronic lettering systems.
    Under terms of the agreement, General Binding will carry
Varitronics' Merlin Express Presentation Lettering System, a
portable, battery-operated lettering system which produces type
on adhesive-backed tape.
 Reuter
",[],['usa'],"General Binding Corp has reached a marketing agreement with Varitronic Systems Inc. General Binding will carry Varitronics' Merlin Express Presentation Lettering System. It is a portable, battery-operated lettering system which produces type of adhesive-backed tape. ",general binding corp ha reached marketing agreement varitronic system inc general binding carry varitronics merlin express presentation lettering system portable battery-operated lettering system produce type adhesive-backed tape
LIBERTY ALL-STAR &lt;USA> SETS INITIAL PAYOUT,"Liberty All-Star Equity Fund said
it declared an initial dividend of five cts per share, payable
April two to shareholders of record March 20.
    It said the dividend includes a quarterly dividend of three
cts a share and a special payout of two cts a share, which
covers the period from November three, 1986, when the fund
began operations, to December 31, 1986.
    The fund said its quarterly dividend rate may fluctuate in
the future.
 Reuter
",['earn'],['usa'],"Liberty All-Star Equity Fund declared an initial dividend of five cts per share, payable on April 2 to shareholders of record on March 20. The dividend includes a quarterly dividend of three cts and a special payout of two cts for the period from November 3, 1986, when the fund was founded, to December 31, 1986.",liberty all-star equity fund declared initial dividend five ct per share payable april 2 shareholder record march 20 dividend includes quarterly dividend three ct special payout two ct period november 3 1986 fund wa founded december 31 1986
COCA COLA &lt;KO> UNIT AND WORLD FILM IN VENTURE,"Coca-Cola Co's Entertainment Business
Sector Inc unit said it formed a joint venture with an
affiliate of World Film Services to acquire, produce and
distribute television programming around the world.
    World Film Services was formed by chairman John Heyman in
1963 to produce films.
   
 Reuter
",[],['usa'],"Coca-Cola Co's Entertainment Business unit has formed a joint venture with an affiliate of World Film Services to acquire, produce and distribute television programming around the world. World Film Service was formed by chairman John Heyman in 1963 to produce films and is still in business today.",coca-cola co 's entertainment business unit ha formed joint venture affiliate world film service acquire produce distribute television programming around world world film service wa formed chairman john heyman 1963 produce film still business today
FORD MOTOR CREDIT &lt;F> TO REDEEM DEBENTURES,"Ford Motor Co said its Ford Motor
Credit Co on April One will redeem 4.0 mln dlrs of its 8.70 pct
debentures due April 1, 1999.
    It said the debentures are redeemable at a price of 100 pct
of the principal. Because April 1, 1987 is an interest payment
date on the debentures, no accrued interest will be payable on
the redemption date as part of the redemption proceeds.
    Debentures will be selected for redemption on a pro rata
basis, Ford said.

 Reuter
",[],['usa'],"Ford Motor Co will redeem 4.0 million dlrs of its 8.70 pct debentures due April 1, 1999 at a price of 100 pct of the principal. No accrued interest will be payable on the redemption date. Debentures will be selected for redemption on a pro rata basis.",ford motor co redeem 4.0 million dlrs 8.70 pct debenture due april 1 1999 price 100 pct principal accrued interest payable redemption date debenture selected redemption pro rata basis
STERLING SOFTWARE &lt;SSW> NOTE HOLDERS OK BUY,"Sterling Software Inc said it received
consent of a majority of the holders of its eight pct
convertible sernior subordinated debentures required to
purchase shares of its common.
    The company said it may now buy its stock at its discretion
depending on market conditions.
 Reuter
",[],['usa'],"Sterling Software Inc. received consent of majority of holders of its 8% Convertible sernior subordinated debentures required to buy shares of its common. The company may now buy its stock at its discretion depending on market conditions, according to Reuter.",sterling software inc received consent majority holder 8 convertible sernior subordinated debenture required buy share common company may buy stock discretion depending market condition according reuter
&lt;SCHULT HOMES CORP> MAKES INITIAL STOCK OFFER,"Schult Homes Corp announced an initial
public offering of 833,334 units at five dlrs per unit, said
Janney Montgomery Scott Inc and Woolcott and Co, managing
underwriters of the offering.
    They said each unit consists of one common share and one
warrant to buy one-half share of common.
    The warrant will entitle holders to buy one-half common
share at 5.50 dlrs per full share from March one, 1988, to
September one, 1989, and thereafter at 6.50 dlrs per full share
until March 1991, they said.
 Reuter
",[],['usa'],"Schult Homes Corp announced an initial public offering of 833,334 units at five dlrs per unit. Each unit consists of one common share and one warrant to buy one-half share of common. Warrant entitles holders to buy a share from March 1988 to September 1989 and from March 1991 to March 1991.","schult home corp announced initial public offering 833,334 unit five dlrs per unit unit consists one common share one warrant buy one-half share common warrant entitles holder buy share march 1988 september 1989 march 1991 march 1991"
FLUOR &lt;FLR> UNIT GETS CONSTRUCTION CONTRACT,"Fluor Corp said its Fluor Daniel
unit received a contract from Union Carbide Corp &lt;UK> covering
design, procurement and construction of a 108 megawatt combined
cycle cogeneration facility in Seadrift, Texas.
    The value of the contract was not disclosed.
 Reuter
",[],['usa'],"Fluor Corp received a contract from Union Carbide Corp &lt;UK covering design, procurement and construction of a 108 megawatt combined cycle cogeneration facility in Seadrift, Texas. The value of the contract has not been disclosed. ",fluor corp received contract union carbide corp uk covering design procurement construction 108 megawatt combined cycle cogeneration facility seadrift texas value contract ha disclosed
